,Slack,SD,Machines,Accepted Load,Rejected Load,Available Resource
346,0.7,0.233,50,3043930.9,13427269.1,8459195
347,0.7,0.233,90,4742848.6,11728351.4,15914715
348,0.7,0.233,130,6294704.8,10176495.2,16471200
349,0.7,0.233,170,6686481.2,9784718.8,16471200
350,0.7,0.241,10,1289050,15182150,1790569
351,0.7,0.241,50,3058708.1,13412491.9,8976925
352,0.7,0.241,90,5054097.9,11417102.1,15342168
353,0.7,0.241,130,6240724,10230476,16471200
354,0.7,0.241,170,6951338.7,9519861.3,16471200
355,0.7,0.259,10,1176022.1,15295177.9,1823089
356,0.7,0.259,50,2945433.2,13525766.8,9261975
357,0.7,0.259,90,4877560.9,11593639.1,15466353
358,0.7,0.259,130,5950541.3,10520658.7,16471200
359,0.7,0.259,170,7214841.5,9256358.5,16471200
360,0.7,0.269,10,1289316.3,15181883.7,2015961
361,0.7,0.269,50,3143927.6,13327272.4,8913425
362,0.7,0.269,90,4706286.5,11764913.5,16022502
363,0.7,0.269,130,6020692.5,10450507.5,16471200
364,0.7,0.269,170,6764706.1,9706493.9,16471200
365,0.7,0.292,10,1248526.3,15222673.7,1935697
366,0.7,0.292,50,3059733.2,13411466.8,8862190
367,0.7,0.292,90,4297469,12173731,15379455
368,0.7,0.292,130,5779290,10691910,16471200
369,0.7,0.292,170,7098138.4,9373061.6,16471200
370,0.7,0.304,10,1150534.3,15320665.7,1906988
371,0.7,0.304,50,3068234,13402966,8409765
372,0.7,0.304,90,4965797.8,11505402.2,15237360
373,0.7,0.304,130,6119619.6,10351580.4,16471200
374,0.7,0.304,170,6990142.6,9481057.4,16471200
375,0.7,0.318,10,1348070.6,15123129.4,2009139
376,0.7,0.318,50,2921598.8,13549601.2,9768960
377,0.7,0.318,90,4714218.1,11756981.9,15153645
378,0.7,0.318,130,6053074.5,10418125.5,16471200
379,0.7,0.318,170,6700479.8,9770720.2,16471200
380,0.7,0.333,10,1326656.9,15144543.1,1993665
381,0.7,0.333,50,2866419.7,13604780.3,9017150
382,0.7,0.333,90,4833460.9,11637739.1,16011996
383,0.7,0.333,130,6114700,10356500,16471200
384,0.7,0.333,170,7417541.5,9053658.5,16471200
385,0.8,0.4,10,1243355.2,15227844.8,1914829
386,0.8,0.4,50,2871410.6,13599789.4,8473050
387,0.8,0.4,90,4622861.4,11848338.6,15549147
388,0.8,0.4,130,6062894.2,10408305.8,16471200
389,0.8,0.4,170,6880914.6,9590285.4,16471200
390,0.8,0.32,10,1324813.8,15146386.2,2010608
391,0.8,0.32,50,2997870.2,13473329.8,9394165
392,0.8,0.32,90,4557745,11913455,15852468
393,0.8,0.32,130,5903342.3,10567857.7,16471200
394,0.8,0.32,170,6561442.5,9909757.5,16471200
395,0.8,0.267,10,1313373.9,15157826.1,2028732
396,0.8,0.267,50,2768327,13702873,9313270
397,0.8,0.267,90,4473723.1,11997476.9,16044492
398,0.8,0.267,130,6186730.1,10284469.9,16471200
399,0.8,0.267,170,6585604.6,9885595.4,16471200
400,0.8,0.276,10,1285114.5,15186085.5,1961892
401,0.8,0.276,50,3085224.8,13385975.2,8457530
402,0.8,0.276,90,4866416.4,11604783.6,16140069
403,0.8,0.276,130,5987724.6,10483475.4,16471200
404,0.8,0.276,170,7211999.4,9259200.6,16471200
405,0.8,0.286,10,1242014.3,15229185.7,1934821
406,0.8,0.286,50,2920884.8,13550315.2,8756310
407,0.8,0.286,90,4681427.9,11789772.1,15801312
408,0.8,0.286,130,5857882,10613318,16471200
409,0.8,0.286,170,6767637.6,9703562.4,16471200
410,0.8,0.296,10,1362960.5,15108239.5,1967739
411,0.8,0.296,50,3111952,13359248,9571835
412,0.8,0.296,90,4507063.6,11964136.4,15355788
413,0.8,0.296,130,5691988.4,10779211.6,16471200
414,0.8,0.296,170,6311219.7,10159980.3,16471200
415,0.8,0.308,10,1281326.9,15189873.1,1969213
416,0.8,0.308,50,2847747.4,13623452.6,9250320
417,0.8,0.308,90,4673862.7,11797337.3,16003869
418,0.8,0.308,130,5854728.1,10616471.9,16471200
419,0.8,0.308,170,5947822.1,10523377.9,16471200
420,0.8,0.333,10,1310176.2,15161023.8,2045813
421,0.8,0.333,50,2909843.9,13561356.1,9807170
422,0.8,0.333,90,4850834.1,11620365.9,16379187
423,0.8,0.333,130,6033831.9,10437368.1,16471200
424,0.8,0.333,170,6739855.4,9731344.6,16471200
425,0.8,0.348,10,1292781.9,15178418.1,2015497
426,0.8,0.348,50,2835499.1,13635700.9,9148865
427,0.8,0.348,90,4450349,12020851,15895815
428,0.8,0.348,130,6071868.9,10399331.1,16471200
429,0.8,0.348,170,6619296,9851904,16471200
430,0.8,0.364,10,1282370.4,15188829.6,2248318
431,0.8,0.364,50,2771546,13699654,9377695
432,0.8,0.364,90,4338243.4,12132956.6,16242711
433,0.8,0.364,130,5283265.5,11187934.5,16471200
434,0.8,0.364,170,5930353.6,10540846.4,16471200
435,0.8,0.381,10,1316104.6,15155095.4,2077612
436,0.8,0.381,50,2592657.1,13878542.9,9932875
437,0.8,0.381,90,4036770.5,12434429.5,16296387
438,0.8,0.381,130,5025230.7,11445969.3,16471200
439,0.8,0.381,170,5759338,10711862,16471200
440,0.9,0.3,10,1342169.8,15129030.2,2097128
441,0.9,0.3,50,2736870.1,13734329.9,9462440
442,0.9,0.3,90,4396051,12075149,15605868
443,0.9,0.3,130,5538827.9,10932372.1,16471200
444,0.9,0.3,170,5921808.2,10549391.8,16471200
445,0.9,0.31,10,1285508.1,15185691.9,2055725
446,0.9,0.31,50,2742513.2,13728686.8,9500120
447,0.9,0.31,90,4757343.8,11713856.2,15974268
448,0.9,0.31,130,5149380.5,11321819.5,16471200
449,0.9,0.31,170,6213169,10258031,16471200
450,0.9,0.36,10,1456555.4,15014644.6,2069461
451,0.9,0.36,50,2836168.6,13635031.4,9393475
452,0.9,0.36,90,4529611.1,11941588.9,15866499
453,0.9,0.36,130,5629761.7,10841438.3,16471200
454,0.9,0.36,170,6095733.8,10375466.2,16471200
455,0.9,0.45,10,1319457.6,15151742.4,2014916
456,0.9,0.45,50,2804473.1,13666726.9,9264370
457,0.9,0.45,90,4633225.2,11837974.8,15560643
458,0.9,0.45,130,6000159.5,10471040.5,16471200
459,0.9,0.45,170,6906072.5,9565127.5,16471200
460,0.9,0.321,10,1395490.9,15075709.1,2195551
461,0.9,0.321,50,2721968.8,13749231.2,9407195
462,0.9,0.321,90,4070891.9,12400308.1,15915642
463,0.9,0.321,130,5452110.8,11019089.2,16471200
464,0.9,0.321,170,6176697.2,10294502.8,16471200
465,0.9,0.333,10,1366896.2,15104303.8,2037612
466,0.9,0.333,50,2842448.3,13628751.7,9668420
467,0.9,0.333,90,3965124,12506076,16031808
468,0.9,0.333,130,5176624.7,11294575.3,16471200
469,0.9,0.333,170,5551114.5,10920085.5,16471200
470,0.9,0.346,10,1448387.4,15022812.6,2190484
471,0.9,0.346,50,2531764.5,13939435.5,9929145
472,0.9,0.346,90,4223414.9,12247785.1,16195314
473,0.9,0.346,130,5416159.6,11055040.4,16471200
474,0.9,0.346,170,6011204.8,10459995.2,16471200
475,0.9,0.375,10,1270557.1,15200642.9,2095954
476,0.9,0.375,50,2656773.2,13814426.8,9412770
477,0.9,0.375,90,4123800.9,12347399.1,16361979
478,0.9,0.375,130,5627004.8,10844195.2,16471200
479,0.9,0.375,170,6680856.1,9790343.9,16471200
480,0.9,0.391,10,1255179,15216021,2110071
481,0.9,0.391,50,2506139.9,13965060.1,9764790
482,0.9,0.391,90,4426155,12045045,15953586
483,0.9,0.391,130,4899007.3,11572192.7,16471200
484,0.9,0.391,170,5815382.7,10655817.3,16471200
485,0.9,0.409,10,1269138.6,15202061.4,2056436
486,0.9,0.409,50,2741039.3,13730160.7,9508975
487,0.9,0.409,90,4089898.3,12381301.7,16025535
488,0.9,0.409,130,5160054,11311146,16471200
489,0.9,0.409,170,5413252,11057948,16471200
490,0.9,0.429,10,1258404.3,15212795.7,2144424
491,0.9,0.429,50,2755125.7,13716074.3,9519235
492,0.9,0.429,90,4394085.1,12077114.9,16015659
493,0.9,0.429,130,5541176.5,10930023.5,16471200
494,0.9,0.429,170,5909432,10561768,16471200
