,Slack,SD,File,Machines,Accepted Load,Rejected Load,Available Resource
354,0.1,0.042,S5,10,838433,8695651,1535220
355,0.1,0.042,S6,10,885939,8648145,1362830
356,0.1,0.042,S7,10,1061754,8472330,1448680
357,0.1,0.042,S8,10,1034557,8499527,1459790
358,0.1,0.042,S9,10,877861,8656223,1543640
359,0.1,0.042,S10,10,877594,8656490,1476860
360,0.1,0.042,S1,50,2487149,7046935,5803550
361,0.1,0.042,S2,50,3444765,6089319,7982700
362,0.1,0.042,S3,50,3142129,6391955,7329900
363,0.1,0.042,S4,50,3267431,6266653,7281250
364,0.1,0.042,S5,50,3461552,6072532,8080350
365,0.1,0.042,S6,50,3076629,6457455,7320600
366,0.1,0.042,S7,50,3090921,6443163,5410400
367,0.1,0.042,S8,50,2675251,6858833,5373750
368,0.1,0.042,S9,50,3300919,6233165,7791300
369,0.1,0.042,S10,50,3101975,6432109,5500050
370,0.1,0.042,S1,90,3790279,5743805,9534084
371,0.1,0.042,S2,90,5537253,3996831,9534084
372,0.1,0.042,S3,90,3313515,6220569,9534084
373,0.1,0.042,S4,90,5745386,3788698,9534084
374,0.1,0.042,S5,90,3674711,5859373,9534084
375,0.1,0.042,S6,90,3799705,5734379,9534084
376,0.1,0.042,S7,90,5595921,3938163,9534084
377,0.1,0.042,S8,90,5702654,3831430,9534084
378,0.1,0.042,S9,90,3735323,5798761,9534084
379,0.1,0.042,S10,90,5679428,3854656,9534084
380,0.1,0.042,S1,130,4353817,5180267,9534084
381,0.1,0.042,S2,130,4565578,4968506,9534084
382,0.1,0.042,S3,130,4435909,5098175,9534084
383,0.1,0.042,S4,130,6609058,2925026,9534084
384,0.1,0.042,S5,130,4199064,5335020,9534084
385,0.1,0.042,S6,130,6527167,3006917,9534084
386,0.1,0.042,S7,130,6511163,3022921,9534084
387,0.1,0.042,S8,130,7122377,2411707,9534084
388,0.1,0.042,S9,130,4324894,5209190,9534084
389,0.1,0.042,S10,130,6625435,2908649,9534084
390,0.1,0.042,S1,170,7137643,2396441,9534084
391,0.1,0.042,S2,170,5347757,4186327,9534084
392,0.1,0.042,S3,170,5210416,4323668,9534084
393,0.1,0.042,S4,170,6878259,2655825,9534084
394,0.1,0.042,S5,170,6649656,2884428,9534084
395,0.1,0.042,S6,170,6737255,2796829,9534084
396,0.1,0.042,S7,170,6678585,2855499,9534084
397,0.1,0.042,S8,170,7132938,2401146,9534084
398,0.1,0.042,S9,170,6709664,2824420,9534084
399,0.1,0.042,S10,170,6774887,2759197,9534084
400,0.1,0.043,S1,10,792341,8741743,1130610
401,0.1,0.043,S2,10,1024485,8509599,1177160
402,0.1,0.043,S3,10,942972,8591112,1517340
403,0.1,0.043,S4,10,895043,8639041,1494770
404,0.1,0.043,S5,10,1020856,8513228,1363950
405,0.1,0.043,S6,10,1134370,8399714,1553380
406,0.1,0.043,S7,10,906162,8627922,1577340
407,0.1,0.043,S8,10,646184,8887900,1106160
408,0.1,0.043,S9,10,1095942,8438142,1452410
409,0.1,0.043,S10,10,969080,8565004,1363420
410,0.1,0.043,S1,50,2859033,6675051,5510050
411,0.1,0.043,S2,50,3543695,5990389,8232450
412,0.1,0.043,S3,50,3525967,6008117,7624550
413,0.1,0.043,S4,50,3324586,6209498,7621850
414,0.1,0.043,S5,50,3517441,6016643,6820900
415,0.1,0.043,S6,50,2889880,6644204,5505550
416,0.1,0.043,S7,50,3766264,5767820,8076700
417,0.1,0.043,S8,50,2441204,7092880,5900350
418,0.1,0.043,S9,50,2554493,6979591,5839200
419,0.1,0.043,S10,50,2632413,6901671,5570850
420,0.1,0.043,S1,90,5393316,4140768,9534084
421,0.1,0.043,S2,90,3758853,5775231,9534084
422,0.1,0.043,S3,90,3739486,5794598,9534084
423,0.1,0.043,S4,90,5407256,4126828,9534084
424,0.1,0.043,S5,90,5834146,3699938,9534084
425,0.1,0.043,S6,90,5606052,3928032,9534084
426,0.1,0.043,S7,90,4285399,5248685,9534084
427,0.1,0.043,S8,90,4252676,5281408,9534084
428,0.1,0.043,S9,90,5973029,3561055,9534084
429,0.1,0.043,S10,90,4259340,5274744,9534084
430,0.1,0.043,S1,130,6432647,3101437,9534084
431,0.1,0.043,S2,130,4456133,5077951,9534084
432,0.1,0.043,S3,130,4485279,5048805,9534084
433,0.1,0.043,S4,130,4425232,5108852,9534084
434,0.1,0.043,S5,130,6913983,2620101,9534084
435,0.1,0.043,S6,130,6809950,2724134,9534084
436,0.1,0.043,S7,130,4761903,4772181,9534084
437,0.1,0.043,S8,130,5198401,4335683,9534084
438,0.1,0.043,S9,130,4967731,4566353,9534084
439,0.1,0.043,S10,130,6603625,2930459,9534084
440,0.1,0.043,S1,170,6841221,2692863,9534084
441,0.1,0.043,S2,170,4607040,4927044,9534084
442,0.1,0.043,S3,170,5020367,4513717,9534084
443,0.1,0.043,S4,170,6668545,2865539,9534084
444,0.1,0.043,S5,170,7115283,2418801,9534084
